Lat,Long,Negotiable,Area,NoofBedrooms,NoofBathrooms,FloorType,NoofBalconies,Age,Maint_sqft,Furnished,Facing,OnFloor,NooffloorsinBldg,Parking,PowerBackup,WaterSupply,HousePriceinK
19.20360106,72.833948,Negotiable,700,2,2,Vitrified Tiles,3,>10 years old,3.6,Full,East,7,7,Bike and Car,Partial,Both,14500
19.08124113,72.84975304,Negotiable,800,1,1,Mosaic,1,>10 years old,1.3,Unfurnished,North,2,5,Car,NA,NA,12e3
19.07181984,72.88022798,Negotiable,720,2,1,Marble/Granite,0,>10 years old,1.4,Unfurnished,East,4,5,None,None,Corporation,8500
19.11157623,72.89661194,Negotiable,527,1,1,Vitrified Tiles,0,>10 years old,4.2,Semi,East,5,6,Bike,NA,Corporation,11e3
19.21918405,72.83460222,Negotiable,380,1,1,Vitrified Tiles,0,>10 years old,3.5,Semi,South,4,5,Bike and Car,None,Corporation,8500
19.04089737,72.870224,Negotiable,650,1,1,Vitrified Tiles,0,>10 years old,4.3,Semi,East,1,7,Bike and Car,Full,Corporation,12e3
19.12683028,72.83791053,Negotiable,558,2,2,Vitrified Tiles,3,5-10 years old,5.4,Semi,North-East,1,10,Bike,None,Corporation,15500
19.25196012,72.86316236,Negotiable,600,1,1,Vitrified Tiles,0,>10 years old,1.7,Unfurnished,East,2,4,Bike and Car,None,Corporation,8e3
19.12526643,72.83638689,Negotiable,1050,3,3,Vitrified Tiles,3,5-10 years old,2.9,Semi,NA,1,9,Bike and Car,Full,Both,16500
19.21615219,72.81213379,Negotiable,1080,2,2,Vitrified Tiles,2,1-3 years old,6.9,Semi,South-East,5,18,Bike and Car,Full,Both,13e3
18.97777863,72.82357261,Negotiable,360,1,1,Vitrified Tiles,0,1-3 years old,5.6,Unfurnished,NA,5,26,Bike and Car,Full,Corporation,18e3
18.971982,72.840192,Non-negotiable,500,1,2,Marble/Granite,0,5-10 years old,4,Unfurnished,West,10,14,Bike,None,Corporation,19e3
19.20116864,72.86362377,Negotiable,705,1,2,Marble/Granite,2,Newly Constructed,0,Full,North-East,11,13,Bike and Car,None,Both,1e4
18.97862461,72.8319334,Negotiable,350,1,1,Vitrified Tiles,0,5-10 years old,1.4,Unfurnished,East,0,7,Bike,None,Corporation,6e3
19.17666673,72.95127671,Negotiable,1060,2,2,Vitrified Tiles,0,Newly Constructed,0,Unfurnished,NA,7,7,Car,NA,Both,16500
19.1485538,72.83218042,Non-negotiable,1500,3,3,Vitrified Tiles,1,Newly Constructed,5.7,Unfurnished,NA,8,14,Bike and Car,Full,Both,4e4
19.25459416,72.85769646,Negotiable,460,1,2,Marble/Granite,0,>10 years old,2.3,Unfurnished,North,2,3,Bike and Car,None,Corporation,8e3
19.00723366,72.83738225,Negotiable,300,1,1,Marble/Granite,0,>10 years old,1.7,Semi,West,5,5,Bike and Car,None,Both,7800
19.16389847,72.84233093,Negotiable,650,1,2,Vitrified Tiles,2,5-10 years old,4.3,Semi,North-West,6,7,Bike and Car,Full,Corporation,11800
19.2424509,72.8544337,Negotiable,1400,3,3,Vitrified Tiles,3,3-5 years old,5,Unfurnished,East,5,9,Bike and Car,None,Both,22500
19.19627377,72.87047651,Negotiable,530,1,2,Vitrified Tiles,1,>10 years old,3.8,Semi,NA,3,6,Bike and Car,None,Both,8500
19.2115211,72.838647,Negotiable,875,2,2,Vitrified Tiles,0,3-5 years old,5.7,Semi,East,8,22,Bike and Car,Partial,Both,17e3
19.1080466,72.86157066,Negotiable,480,1,1,Marble/Granite,2,>10 years old,0,Full,East,1,4,Bike and Car,None,Corporation,10500
19.0667422,72.8381374,Non-negotiable,1200,2,2,Vitrified Tiles,1,5-10 years old,5.8,Unfurnished,NA,14,14,Bike and Car,NA,Corporation,35e3
19.14649684,72.92682934,Negotiable,570,1,2,Vitrified Tiles,0,Under Construction,0,Unfurnished,North,20,22,Car,Full,Both,6900
19.1799614,72.87210902,Negotiable,230,1,1,Cement,0,>10 years old,0,Unfurnished,East,0,1,None,None,Both,2e3
19.12754627,72.8430779,Negotiable,1e3,3,2,Vitrified Tiles,0,1-3 years old,0,Full,East,7,7,Bike and Car,None,Both,27500
19.14786823,72.93215217,Negotiable,560,1,1,Vitrified Tiles,2,5-10 years old,2.7,Unfurnished,East,7,7,Bike,None,Both,7500
18.93993173,72.83647375,Negotiable,550,1,1,Vitrified Tiles,0,3-5 years old,12.9,Unfurnished,North-East,8,8,Bike,NA,Both,17e3
19.01266692,72.82362899,Negotiable,600,1,2,Vitrified Tiles,2,Under Construction,1.7,Semi,South-West,10,12,Bike and Car,Full,Corporation,18e3
19.06816448,72.90001269,Negotiable,700,1,1,Vitrified Tiles,0,5-10 years old,0,Unfurnished,NA,2,14,None,Partial,Both,11e3
