Unique ID,PostedTime,Lat,Long,SaleType,HouseType,Address,Verified,LoanVerified,Price,Negotiable,Area,Measure,MonthlyEMI,Bedrooms,Bathrooms,FloorType,Balconies,ShortAddress,Bldgtype,Age,OwnedBy,Maintanance,FloorType2,Area2,Furnished,Facing,FloorOn,Parking,PowerBackup,WaterSupply,propid,
5748,"Mar 20, 2018 1:36:38 PM",19.20780273,72.83559032,Resale,"2 BHK for sale,
Undisclosed","Undisclosed, Mahavir Nagar, Near Noble Medical",Pre-verified,Loan Verified,1.9 Crores,Negotiable,940,Sq.Ft,1.48 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Undisclosed,Apartment,>10 years old,Self Owned,3.2 per sq.ft/m,Vitrified Tiles,940 sq.ft,Full,West,Floor 8 / 8,Bike,NA,Corporation,ff808181620eb34b016218a8563c2c09,
5749,"Mar 23, 2018 1:23:49 PM",19.22642872,72.84481068,Resale,"1 BHK for sale,
ganesh siddhi","Ganesh Siddhi, Amarkant Jha Road, Near Mathoshree Zunka ...",Pre-verified,Loan Verified,1.05 Crores,Negotiable,475,Sq.Ft,81.62 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,3 Balconies,ganesh siddhi,Apartment,3-5 years old,Self Owned,6.3 per sq.ft/m,Vitrified Tiles,475 sq.ft,Unfurnished,South,Floor 3 / 7,Bike,NA,Both,ff80818162415f9801624308ff2a44f0,
5750,"Mar 20, 2018 12:27:22 PM",19.0567431,72.89831995,Resale,"1 RK for sale,
Ridhhi Sidhi","Ridhhi Sidhi, Mahadeo Wadi, Near Chembur Head Post Office,",Pre-verified,Loan Verified,35 Lacs,Negotiable,250,Sq.Ft,27.21 K/Month,1 bedrooms,1 Bath,Cement,0 Balconies,Ridhhi Sidhi,Apartment,>10 years old,Self Owned,0.6 per sq.ft/m,Cement,250 sq.ft,Unfurnished,NA,Floor 1 / 2,Bike and Car,None,Corporation,ff808181623e3b0801623f818aea763d,
5751,NA,19.1509174,72.9396855,Resale,"1 BHK for sale,
Kukreja Complex Nakshatr","Kukreja Complex Nakshatra Building B Wing, Bhandup West ...",Pre-verified,Loan Verified,98 Lacs,Negotiable,427,Sq.Ft,76.18 K/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Kukreja Complex Nak,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818162395c4d01623c94b3d06a70,
5752,NA,19.1138041,72.90484375,Resale,"2 BHK for sale,
AP Panch Ritu","Ap Panch Ritu, Chandivali Rd Near Panch Shrishti Comple ...",Pre-verified,Loan Verified,1.95 Crores,Non-negotiable,915,Sq.Ft,1.52 Lacs/Month,Estimated EMI,Marble/Granite,Marble/Granite,Immediately,AP Panch Ritu,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818162395c4d01623cecbd601345,
5753,NA,19.17126026,72.93395843,Resale,"1 BHK for sale,
Jay shastri nagar CHS","Jay Shastri Nagar Chs, Guru Gobind Singh Rd, Moti Nagar ...",Pre-verified,Loan Verified,80 Lacs,Negotiable,550,Sq.Ft,62.19 K/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Jay shastri nagar C,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818162395c4d01623cf13f1d160d,
5754,NA,19.21304842,72.83198682,Resale,"2 BHK for sale,
Gaurav Garden Complex","Gaurav Garden Complex, Bander Pakhadi Near Garden Super ...",Pre-verified,Loan Verified,1.45 Crores,Non-negotiable,920,Sq.Ft,1.13 Lacs/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Gaurav Garden Compl,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818162395c4d01623d029c301fef,
5755,NA,19.1989368,72.81891433,Resale,"2 BHK for sale,
Blue Bell","Blue Bell, Jankalyan Nagar, Near Shubhangan Hsg. Soc. A ...",Pre-verified,Loan Verified,1.3899999 Crores,Non-negotiable,695,Sq.Ft,1.08 Lacs/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Blue Bell,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff808181623e3b0801623e8d4fae2abb,
5756,NA,19.0227214,72.85904155,Resale,"4 BHK for sale,
Maheshwar co-operative s","Maheshwar Co-operative Society, Wadla Village, Near The ...",Pre-verified,Loan Verified,4.3 Crores,Negotiable,"1,463",Sq.Ft,3.34 Lacs/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,Maheshwar co-operat,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff80818161e680560161e6a36d700996,
5757,NA,19.1735746,72.79630778,Resale,"1 RK for sale,
independent house","Independent House, Marve Rd, Dharvali, Aksa Gaon, Marve ...",Pre-verified,Loan Verified,14 Lacs,Non-negotiable,200,Sq.Ft,10.88 K/Month,Estimated EMI,Vitrified Tiles,Vitrified Tiles,Immediately,independent house,Independent House/Villa,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff808181623e3b0801623e7c86c2226a,
